Time(s)    x(m)   y(m)   vx(m/s)   vy(m/s) 
    0 0 0 65.59066551480608 13.94172633947567
 0.05 3.253234661334922 0.6959720657795527 64.5433135648442 13.89524691081893
  0.1 6.454782608227362 1.389338595079772 63.52303823941581 13.8376005870817
 0.15 9.605974240413332 2.079555321325128 62.52890965254851 13.76934501593697
  0.2 12.70809454745926 2.766105057264319 61.56004085136447 13.6910060938191
 0.25 15.7623851921458 3.448496161602438 60.61558531551088 13.60308010470024
  0.3 18.77004647323822 4.126261108355965 59.69473463073874 13.5060356928147
 0.35 21.73223917599411 4.798955151002853 58.79671632258817 13.4003156840666
  0.4 24.65008631808972 5.466155074199409 57.92079183742241 13.28633876939307
 0.45 27.52467479803783 6.127458026466106 57.06625465920594 13.16450106205244
  0.5 30.35705695261573 6.782480427813349 56.23242855145953 13.03517753964557
 0.55 33.14825202931812 7.430856946792215 55.41866591475882 12.89872338064122
0.6000000000000001 35.89924757938851 8.072239541920094 54.6243462509853 12.75547520424938
 0.65 38.61100077656334 8.70629656285228 53.8488747262983 12.60575222165634
0.7000000000000001 41.28443966627829 9.332711907052241 53.09168082548391 12.44985730589149
 0.75 43.92046434973518 9.951184228059891 52.35221709095772 12.28807798692788
  0.8 46.519948106906 10.56142619177191 51.62995794026159 12.12068737801854
0.8500000000000001 49.08373846225533 11.16316377743465 50.92439855640461 11.94794503873081
  0.9 51.61265819669204 11.75613562031082 50.23505384586226 11.7700977796544
0.9500000000000001 54.10750630901221 12.34009239321876 49.56145745946804 11.58738041332026
    1 56.56905892986698 12.91479622436002 48.90316087181534 11.40001645547161
 1.05 58.99807019107848 13.48002014904877 48.25973251513582 11.20821878047006
  1.1 61.39527305293358 14.03554759313765 47.63075696393772 11.01219023429606
 1.15 63.76138009190653 14.58117188609994 47.01583416697847 10.81212420830944
  1.2 66.09708425109727 15.11669580187979 46.4145787234094 10.60820517666945
 1.25 68.40305955551997 15.64193112576067 45.82661920017298 10.40060920007233
  1.3 70.67996179423609 16.15669824562999 45.25159748795394 10.18950439824445
 1.35 72.92842917119638 16.6608257661342 44.68916819318797 9.975051393429666
  1.4 75.14908292653629 17.15415014432632 44.13899806381754 9.757403726927242
 1.45 77.34252792995795 17.63651534550643 43.60076544665402 9.536708250570983
  1.5 79.50935324772874 18.10777251804602 43.07415977436161 9.313105494888708
 1.55 81.65013268473085 18.56777968607114 42.55888108022182 9.086730015543031
  1.6 83.76542530290793 19.01640145895543 42.05463953896876 8.85771071952791
 1.65 85.85577591737176 19.45350875664546 41.56115503210642 8.626171172479717
  1.7 87.9217155713558 19.87897854990583 41.07815673623098 8.392229888355583
 1.75 89.96376199113138 20.29269361463161 40.60538273298268 8.156000602634618
  1.8 91.98242002193503 20.69454229943127 40.1425796393471 7.91759253010839
 1.85 93.97818204589483 21.08441830573459 39.68950225711194 7.677110608245124
  1.9 95.95152838288499 21.4622204797272 39.24591324036581 7.434655727036859
 1.95 97.90292767518466 21.82785261545714 38.81158277999913 7.190324946169464
    2 99.83283725676645 22.18122326849937 38.38628830423566 6.944211700291772
 2.05 101.7417035079933 22.52224557960122 37.96981419428566 6.69640599310129
  2.1 103.6299621964579 22.85083710776649 37.56195151426974 6.446994580909955
 2.15 105.4980388046591 23.16691967226771 37.1624977546161 6.196061146303461
  2.2 107.3463488451681 23.47041920310564 36.77125658818289 5.943686462461769
 2.25 109.1752981639056 23.76126559946231 36.38803763840308 5.689948548665994
  2.3 110.9852832321117 24.03939259571931 36.0126562587915 5.43492281747778
 2.35 112.7766914275629 24.30473763463635 35.64493332319187 5.178682214041255
  2.4 114.5499013055575 24.55724174730656 35.28469502617818 4.921297347924441
 2.45 116.3052828601629 24.79684943952566 34.93177269305721 4.662836617886426
  2.5 118.0431977761931 25.02350858423007 34.58600259894973 4.403366329928513
 2.55 119.7639996723557 25.23717031967659 34.24722579645608 4.14295080896171
  2.6 121.4680343359878 25.43778895305244 33.91528795143775 3.881652504399268
 2.65 123.1556399497744 25.62532186921902 33.59003918647058 3.619532089961294
  2.7 124.8271473108222 25.79972944430682 33.27133393154742 3.356648557958715
 2.75 126.4828800424413 25.96097496389174 32.95903078162891 3.093059308305891
  2.8 128.1231547989684 26.10902454549517 32.65299236065947 2.828820232494854
 2.85 129.7482814639436 26.24384706516132 32.35308519168418 2.563985792749497
  2.9 131.3585633419393 26.36541408787619 32.05917957271787 2.298609096564806
 2.95 132.9542973443189 26.47369980160201 31.7711494580339 2.032741966824495
    3 134.5357741691888 26.56868095471104 31.48887234455401 1.766435007679976
 3.05 136.1032784757909 26.65033679661081 31.21222916303467 1.499737666364439
  3.1 137.6570890535691 26.71864902136202 30.94110417375802 1.232698291107887
 3.15 139.1974789861256 26.77360171409807 30.67538486644804 0.9653641853121037
  3.2 140.7247158102748 26.81518130006289 30.41496186414434 0.6977816581387347
 3.25 142.2390616703826 26.84337649609176 30.15972883077738 0.4299960716588274
  3.3 143.7407734681736 26.85817826436658 29.90958238220016 0.1620518847081705
 3.35 145.2301030081701 26.8595797682845 29.66442200044242 -0.106007306410405
  3.4 146.7072971389207 26.84757633028577 29.42414995096413 -0.374138730239106
 3.45 148.1725978901612 26.8221653914934 29.18867120269579 -0.6423004053548833
